"Date","Price","Open","High","Low","Change %"
"Mar 18, 2017","4.120","4.020","4.430","3.690","-4.41"
"Mar 17, 2017","4.310","4.120","4.350","4.000","-0.46"
"Mar 16, 2017","4.330","4.310","4.610","4.220","3.34"
"Mar 15, 2017","4.190","4.330","4.450","4.100","-4.77"
"Mar 14, 2017","4.400","4.190","4.430","4.140","11.68"
"Mar 13, 2017","3.940","4.400","4.590","3.890","3.14"
"Mar 12, 2017","3.820","3.940","3.950","3.820","0.53"
"Mar 11, 2017","3.800","3.820","3.950","3.770","-3.06"
"Mar 10, 2017","3.920","3.800","4.100","3.700","1.55"
"Mar 09, 2017","3.860","3.920","3.950","3.830","-3.26"
"Mar 08, 2017","3.990","3.860","4.010","3.830","-2.68"
"Mar 07, 2017","4.100","3.990","4.260","3.900","1.99"
"Mar 06, 2017","4.020","4.100","4.100","3.960","-0.50"
"Mar 05, 2017","4.040","4.020","4.040","3.850","-0.74"
"Mar 04, 2017","4.070","4.040","4.140","3.880","0.74"
"Mar 03, 2017","4.040","4.070","4.500","4.010","4.66"
"Mar 02, 2017","3.860","4.040","4.290","3.800","0.26"
"Mar 01, 2017","3.850","3.860","3.950","3.800","-0.52"
"Feb 28, 2017","3.870","3.850","3.940","3.810","-0.51"
"Feb 27, 2017","3.890","3.870","3.930","3.850","-0.26"
"Feb 26, 2017","3.900","3.890","3.930","3.840","-1.27"
"Feb 25, 2017","3.950","3.900","3.980","3.830","1.28"
"Feb 24, 2017","3.900","3.950","4.000","3.790","0.26"
"Feb 23, 2017","3.890","3.900","4.000","3.890","1.04"
"Feb 22, 2017","3.850","3.890","3.930","3.850","1.05"
"Feb 21, 2017","3.810","3.850","3.890","3.760","0.00"
"Feb 20, 2017","3.810","3.810","3.850","3.760","-0.78"
"Feb 19, 2017","3.840","3.810","3.850","3.760","-1.79"
"Feb 18, 2017","3.910","3.840","3.940","3.800","1.30"
"Feb 17, 2017","3.860","3.910","3.950","3.850","-0.77"
"Feb 16, 2017","3.890","3.860","3.920","3.850","1.83"
"Feb 15, 2017","3.820","3.890","3.910","3.810","1.06"
"Feb 14, 2017","3.780","3.820","3.820","3.760","-0.53"
"Feb 13, 2017","3.800","3.780","3.830","3.740","-1.04"
"Feb 12, 2017","3.840","3.800","3.850","3.770","0.26"
"Feb 11, 2017","3.830","3.840","3.880","3.820","1.86"
"Feb 10, 2017","3.760","3.830","3.890","3.700","-5.05"
"Feb 09, 2017","3.960","3.760","3.990","3.620","-0.50"
"Feb 08, 2017","3.980","3.960","4.060","3.910","0.25"
"Feb 07, 2017","3.970","3.980","4.020","3.940","0.00"
"Feb 06, 2017","3.970","3.970","4.020","3.940","-1.24"
"Feb 05, 2017","4.020","3.970","4.030","3.910","-0.99"
"Feb 04, 2017","4.060","4.020","4.060","3.940","-0.73"
"Feb 03, 2017","4.090","4.060","4.120","3.910","0.25"
"Feb 02, 2017","4.080","4.090","4.110","3.970","0.25"
"Feb 01, 2017","4.070","4.080","4.150","3.950","0.99"
"Jan 31, 2017","4.030","4.070","4.190","4.030","3.87"
"Jan 30, 2017","3.880","4.030","4.090","3.830","0.26"
"Jan 29, 2017","3.870","3.880","3.900","3.840","-0.77"
"Jan 28, 2017","3.900","3.870","3.900","3.850","1.04"
"Jan 27, 2017","3.860","3.900","3.960","3.790","4.61"
"Jan 26, 2017","3.690","3.860","3.930","3.680","-1.86"
"Jan 25, 2017","3.760","3.690","3.810","3.650","-2.34"
"Jan 24, 2017","3.850","3.760","3.890","3.760","-0.26"
"Jan 23, 2017","3.860","3.850","3.920","3.830","-1.53"
"Jan 22, 2017","3.920","3.860","3.970","3.850","1.03"
"Jan 21, 2017","3.880","3.920","3.930","3.880","0.00"
"Jan 20, 2017","3.880","3.880","3.950","3.860","-0.26"
"Jan 19, 2017","3.890","3.880","3.960","3.830","-1.02"
"Jan 18, 2017","3.930","3.890","3.950","3.810","1.29"
"Jan 17, 2017","3.880","3.930","4.160","3.870","-2.02"
"Jan 16, 2017","3.960","3.880","3.980","3.880","-1.00"
"Jan 15, 2017","4.000","3.960","4.100","3.950","0.76"
"Jan 14, 2017","3.970","4.000","4.250","3.920","-0.75"
"Jan 13, 2017","4.000","3.970","4.060","3.900","-0.50"
"Jan 12, 2017","4.020","4.000","4.140","3.790","-13.92"
"Jan 11, 2017","4.670","4.020","4.680","3.930","6.38"
"Jan 10, 2017","4.390","4.670","4.750","4.040","8.93"
"Jan 09, 2017","4.030","4.390","4.400","3.890","1.26"
"Jan 08, 2017","3.980","4.030","4.400","3.980","2.58"
